External ID,Code,Name,Parent,Internal Type,Account Type,Allow Reconciliation
coa_1,1-000000,Aktiva,0,View,Asset View,FALSE
coa_2,1-100000,Aktiva Lancar,1-000000,View,Asset View,FALSE
coa_3,1-110000,Kas Dan Setara Kas,1-100000,View,Asset View,FALSE
coa_4,1-111000,Kas,1-110000,View,Asset View,TRUE
coa_5,1-111001,Kas Kecil,1-111000,Liquidity,Cash,TRUE
coa_6,1-111002,Kas Belum Disetor,1-111000,Liquidity,Cash,TRUE
coa_7,1-112000,Bank,1-110000,View,Asset View,FALSE
coa_8,1-112001,Mandiri Personal,1-112000,Liquidity,Bank,TRUE
coa_9,1-112002,Mandiri Bisnis,1-112000,Liquidity,Bank,TRUE
coa_10,1-112003,Muamalat,1-112000,Liquidity,Bank,TRUE
coa_11,1-112004,BNI,1-112000,Liquidity,Bank,TRUE
coa_12,1-112005,BCA,1-112000,Liquidity,Bank,TRUE
coa_13,1-112006,BNI Giro,1-112000,Liquidity,Bank,TRUE
coa_14,1-112007,Mandiri Giro,1-112000,Liquidity,Bank,TRUE
coa_15,1-120000,Piutang,1-100000,View,Asset View,FALSE
coa_16,1-121001,Piutang Usaha,1-120000,Receivable,Receivable,TRUE
coa_17,1-121002,Piutang Karyawan,1-120000,Receivable,Receivable,TRUE
coa_18,1-211003,Piutang Owner,1-120000,Receivable,Receivable,TRUE
coa_19,1-211004,Piutang lainnya,1-120000,Receivable,Receivable,TRUE
coa_20,1-130000,Persediaan,1-100000,View,Asset View,FALSE
coa_21,1-130001,Persediaan Daging,1-130000,Regular,Asset,FALSE
coa_22,1-130002,Persediaan Ikan,1-130000,Regular,Asset,FALSE
coa_23,1-130003,Persediaan Sayuran,1-130000,Regular,Asset,FALSE
coa_24,1-130004,Persediaan Keringan,1-130000,Regular,Asset,FALSE
coa_25,1-130005,Persediaan Buah,1-130000,Regular,Asset,FALSE
coa_26,1-130006,Persediaan Fresh Drink,1-130000,Regular,Asset,FALSE
coa_27,1-130007,Persediaan Rokok,1-130000,Regular,Asset,FALSE
coa_28,1-130008,Persediaan Makanan,1-130000,Regular,Asset,FALSE
